"College (Subdivision)","Department","Year","Month","Number of Proposal Submitted","Number of Proposal Funded","MonthOrder"
"College of Engineering & Physical Sciences","Mathematics & Statistics","2024","June",1,0,6
"College of Engineering & Physical Sciences","Mathematics & Statistics","2023","April",7,7,4
"College of Engineering & Physical Sciences","Mathematics & Statistics","2024","October",3,0,10
"College of Engineering & Physical Sciences","Mathematics & Statistics","2023","September",1,0,9
"College of Engineering & Physical Sciences","Mathematics & Statistics","2023","July",2,2,7
"College of Engineering & Physical Sciences","Mathematics & Statistics","2025","January",2,0,1
"College of Engineering & Physical Sciences","Mathematics & Statistics","2024","January",2,0,1
"College of Engineering & Physical Sciences","Mathematics & Statistics","2024","February",1,1,2
"College of Engineering & Physical Sciences","Mathematics & Statistics","2023","June",3,1,6
"College of Engineering & Physical Sciences","Mathematics & Statistics","2023","August",1,0,8
"College of Engineering & Physical Sciences","Mechanical Engineering","2023","May",1,1,5
"College of Engineering & Physical Sciences","Mechanical Engineering","2023","October",2,0,10
"College of Engineering & Physical Sciences","Mechanical Engineering","2024","March",1,0,3
"College of Engineering & Physical Sciences","Mechanical Engineering","2024","September",4,0,9
"College of Engineering & Physical Sciences","Mechanical Engineering","2024","November",2,0,11
"College of Engineering & Physical Sciences","Mechanical Engineering","2023","April",20,20,4
"College of Engineering & Physical Sciences","Mechanical Engineering","2025","January",2,0,1
"College of Engineering & Physical Sciences","Mechanical Engineering","2024","October",5,0,10
"College of Engineering & Physical Sciences","Mechanical Engineering","2023","December",1,0,12
"College of Engineering & Physical Sciences","Mechanical Engineering","2023","July",2,1,7
"College of Engineering & Physical Sciences","Mechanical Engineering","2024","May",1,0,5
"College of Engineering & Physical Sciences","Mechanical Engineering","2024","August",1,0,8
"College of Engineering & Physical Sciences","Mechanical Engineering","2024","February",2,0,2
"College of Engineering & Physical Sciences","Mechanical Engineering","2024","April",1,0,4
"College of Engineering & Physical Sciences","Mechanical Engineering","2023","September",1,1,9
"College of Engineering & Physical Sciences","Mechanical Engineering","2023","August",1,1,8
"College of Engineering & Physical Sciences","Mechanical Engineering","2024","January",2,1,1
"College of Engineering & Physical Sciences","Mechanical Engineering","2023","June",7,0,6
"College of Agriculture, Life Sciences & Natural Resources","Molecular Biology","2023","May",1,1,5
"College of Agriculture, Life Sciences & Natural Resources","Molecular Biology","2023","July",1,0,7
"College of Agriculture, Life Sciences & Natural Resources","Molecular Biology","2024","March",2,1,3
"College of Agriculture, Life Sciences & Natural Resources","Molecular Biology","2025","January",4,0,1
"College of Agriculture, Life Sciences & Natural Resources","Molecular Biology","2023","April",11,11,4
"College of Agriculture, Life Sciences & Natural Resources","Molecular Biology","2024","October",6,1,10
"College of Agriculture, Life Sciences & Natural Resources","Molecular Biology","2023","September",1,1,9
"College of Agriculture, Life Sciences & Natural Resources","Molecular Biology","2023","June",12,3,6
"College of Agriculture, Life Sciences & Natural Resources","Molecular Biology","2024","July",2,0,7
"College of Agriculture, Life Sciences & Natural Resources","Molecular Biology","2024","November",4,0,11
"College of Agriculture, Life Sciences & Natural Resources","Molecular Biology","2023","November",1,0,11
"College of Agriculture, Life Sciences & Natural Resources","Molecular Biology","2024","April",2,0,4
"College of Agriculture, Life Sciences & Natural Resources","Molecular Biology","2024","December",4,2,12
"College of Agriculture, Life Sciences & Natural Resources","Molecular Biology","2024","May",3,1,5
"College of Agriculture, Life Sciences & Natural Resources","Molecular Biology","2024","August",3,0,8
"College of Agriculture, Life Sciences & Natural Resources","Molecular Biology","2023","October",2,0,10
"College of Agriculture, Life Sciences & Natural Resources","Molecular Biology","2024","January",5,0,1
"College of Arts & Sciences","Music","2023","April",5,5,4
"College of Arts & Sciences","Music","2023","August",1,1,8
"College of Arts & Sciences","Music","2024","September",2,2,9
"College of Engineering & Physical Sciences","Physics & Astronomy","2024","September",1,0,9
"College of Engineering & Physical Sciences","Physics & Astronomy","2023","May",1,1,5
"College of Engineering & Physical Sciences","Physics & Astronomy","2024","October",5,0,10
"College of Engineering & Physical Sciences","Physics & Astronomy","2023","October",5,1,10
"College of Engineering & Physical Sciences","Physics & Astronomy","2023","June",16,3,6
"College of Engineering & Physical Sciences","Physics & Astronomy","2023","April",18,18,4
"College of Engineering & Physical Sciences","Physics & Astronomy","2025","January",4,0,1
"College of Engineering & Physical Sciences","Physics & Astronomy","2024","November",5,0,11
"College of Engineering & Physical Sciences","Physics & Astronomy","2024","May",3,2,5
"College of Engineering & Physical Sciences","Physics & Astronomy","2024","February",5,0,2
"College of Engineering & Physical Sciences","Physics & Astronomy","2024","March",1,0,3
"College of Engineering & Physical Sciences","Physics & Astronomy","2023","December",1,0,12
"College of Engineering & Physical Sciences","Physics & Astronomy","2023","November",4,0,11
"College of Engineering & Physical Sciences","Physics & Astronomy","2024","August",3,0,8
"College of Engineering & Physical Sciences","Physics & Astronomy","2024","December",1,0,12
"College of Engineering & Physical Sciences","Physics & Astronomy","2023","August",1,1,8
"College of Engineering & Physical Sciences","Physics & Astronomy","2024","April",1,0,4
"College of Engineering & Physical Sciences","Physics & Astronomy","2024","January",5,1,1
"College of Agriculture, Life Sciences & Natural Resources","Plant Sciences","2023","October",2,0,10
"College of Agriculture, Life Sciences & Natural Resources","Plant Sciences","2024","March",2,1,3
"College of Agriculture, Life Sciences & Natural Resources","Plant Sciences","2024","October",4,0,10
"College of Agriculture, Life Sciences & Natural Resources","Plant Sciences","2024","November",1,0,11
"College of Agriculture, Life Sciences & Natural Resources","Plant Sciences","2023","December",3,3,12
"College of Agriculture, Life Sciences & Natural Resources","Plant Sciences","2024","February",1,1,2
"College of Agriculture, Life Sciences & Natural Resources","Plant Sciences","2025","January",2,0,1
"College of Agriculture, Life Sciences & Natural Resources","Plant Sciences","2023","July",2,1,7
"College of Agriculture, Life Sciences & Natural Resources","Plant Sciences","2024","September",2,0,9
"College of Agriculture, Life Sciences & Natural Resources","Plant Sciences","2024","January",1,1,1
"College of Agriculture, Life Sciences & Natural Resources","Plant Sciences","2024","December",1,1,12
"College of Agriculture, Life Sciences & Natural Resources","Plant Sciences","2024","May",3,3,5
"College of Agriculture, Life Sciences & Natural Resources","Plant Sciences","2023","November",2,1,11
"College of Agriculture, Life Sciences & Natural Resources","Plant Sciences","2024","April",6,4,4
"College of Agriculture, Life Sciences & Natural Resources","Plant Sciences","2023","April",49,49,4
"College of Agriculture, Life Sciences & Natural Resources","Plant Sciences","2023","September",1,1,9
"College of Agriculture, Life Sciences & Natural Resources","Plant Sciences","2024","July",1,0,7
"College of Agriculture, Life Sciences & Natural Resources","Plant Sciences","2024","June",3,2,6
"College of Agriculture, Life Sciences & Natural Resources","Plant Sciences","2023","June",5,3,6
"College of Agriculture, Life Sciences & Natural Resources","Plant Sciences","2023","August",8,8,8
"College of Arts & Sciences","Politics Public Affairs & International Studies","2024","October",1,0,10
"College of Arts & Sciences","Politics Public Affairs & International Studies","2023","July",1,1,7
"College of Arts & Sciences","Politics Public Affairs & International Studies","2024","January",1,1,1
"College of Arts & Sciences","Politics Public Affairs & International Studies","2025","January",1,0,1
"College of Arts & Sciences","Politics Public Affairs & International Studies","2024","March",1,1,3
"College of Arts & Sciences","Politics Public Affairs & International Studies","2023","October",2,0,10
"College of Arts & Sciences","Politics Public Affairs & International Studies","2024","April",1,0,4
"College of Arts & Sciences","Politics Public Affairs & International Studies","2023","June",5,0,6
"College of Arts & Sciences","Politics Public Affairs & International Studies","2023","April",4,4,4
"College of Arts & Sciences","Politics Public Affairs & International Studies","2023","August",1,1,8
"College of Arts & Sciences","Psychology","2024","March",1,1,3
"College of Arts & Sciences","Psychology","2023","April",14,14,4
"College of Arts & Sciences","Psychology","2024","May",3,0,5
"College of Arts & Sciences","Psychology","2024","September",2,0,9
"College of Arts & Sciences","Psychology","2024","February",3,0,2
"College of Arts & Sciences","Psychology","2023","August",1,0,8
"College of Arts & Sciences","Psychology","2024","April",1,1,4
"College of Arts & Sciences","Psychology","2024","January",2,0,1
"College of Arts & Sciences","Psychology","2025","January",3,0,1
"College of Arts & Sciences","Psychology","2024","June",2,1,6
"College of Arts & Sciences","Psychology","2023","September",2,0,9
"College of Arts & Sciences","Psychology","2023","December",1,1,12
"College of Arts & Sciences","Psychology","2023","June",4,0,6
"College of Arts & Sciences","Psychology","2023","October",1,0,10
"College of Arts & Sciences","Psychology","2024","August",1,1,8
"College of Health Sciences","Rural Health","2024","February",1,0,2
"College of Health Sciences","Rural Health","2023","October",1,0,10
"College of Health Sciences","Rural Health","2024","September",1,0,9
"Budget & Institutional Planning","Scholarships & Financial Aid","2023","April",12,12,4
"College of Engineering & Physical Sciences","School of Computing","2023","August",2,2,8
"College of Engineering & Physical Sciences","School of Computing","2023","July",1,0,7
"College of Engineering & Physical Sciences","School of Computing","2024","March",1,0,3
"College of Engineering & Physical Sciences","School of Computing","2024","April",1,0,4
"College of Engineering & Physical Sciences","School of Computing","2024","December",1,0,12
"College of Engineering & Physical Sciences","School of Computing","2024","October",2,0,10
"College of Engineering & Physical Sciences","School of Computing","2024","November",4,0,11
"College of Engineering & Physical Sciences","School of Computing","2025","January",1,0,1
"College of Engineering & Physical Sciences","School of Computing","2023","November",2,0,11
"College of Engineering & Physical Sciences","School of Computing","2023","October",2,1,10
"College of Engineering & Physical Sciences","School of Computing","2024","June",2,1,6
"College of Engineering & Physical Sciences","School of Computing","2023","June",4,2,6
"College of Engineering & Physical Sciences","School of Computing","2024","August",1,0,8
"College of Engineering & Physical Sciences","School of Computing","2024","July",4,1,7
"College of Engineering & Physical Sciences","School of Computing","2024","September",2,0,9
"School of Energy Resources","School of Energy Resources Directors Office","2024","February",1,0,2
"School of Energy Resources","School of Energy Resources Directors Office","2024","December",2,0,12
"School of Energy Resources","School of Energy Resources Directors Office","2023","December",4,2,12
"School of Energy Resources","School of Energy Resources Directors Office","2023","July",1,1,7
"School of Energy Resources","School of Energy Resources Directors Office","2024","April",2,2,4
"School of Energy Resources","School of Energy Resources Directors Office","2024","August",3,1,8
"School of Energy Resources","School of Energy Resources Directors Office","2023","August",2,2,8
"School of Energy Resources","School of Energy Resources Directors Office","2025","January",7,2,1
"School of Energy Resources","School of Energy Resources Directors Office","2024","January",4,2,1
"School of Energy Resources","School of Energy Resources Directors Office","2024","May",4,0,5
"School of Energy Resources","School of Energy Resources Directors Office","2024","September",3,3,9
"School of Energy Resources","School of Energy Resources Directors Office","2023","November",6,1,11
"School of Energy Resources","School of Energy Resources Directors Office","2023","June",7,0,6
"School of Energy Resources","School of Energy Resources Directors Office","2023","April",8,8,4
"School of Energy Resources","School of Energy Resources Directors Office","2024","November",1,1,11
"School of Energy Resources","School of Energy Resources Directors Office","2023","October",1,1,10
"School of Energy Resources","School of Energy Resources Directors Office","2024","July",3,0,7
"College of Health Sciences","School of Pharmacy","2024","March",1,0,3
"College of Health Sciences","School of Pharmacy","2024","April",1,0,4
"College of Health Sciences","School of Pharmacy","2024","December",1,0,12
"College of Health Sciences","School of Pharmacy","2023","December",1,0,12
"College of Health Sciences","School of Pharmacy","2023","August",1,0,8
"College of Health Sciences","School of Pharmacy","2023","June",7,1,6
"College of Health Sciences","School of Pharmacy","2024","August",4,1,8
"College of Health Sciences","School of Pharmacy","2025","January",2,0,1
"College of Health Sciences","School of Pharmacy","2024","July",1,0,7
"College of Health Sciences","School of Pharmacy","2024","September",5,2,9
"College of Health Sciences","School of Pharmacy","2024","November",2,0,11
"College of Health Sciences","School of Pharmacy","2024","October",3,0,10
"College of Health Sciences","School of Pharmacy","2023","April",8,8,4
"College of Education","School of Teacher Education","2023","August",1,0,8
"College of Education","School of Teacher Education","2024","November",2,0,11
"College of Education","School of Teacher Education","2024","August",1,0,8
"College of Education","School of Teacher Education","2023","June",3,0,6
"College of Education","School of Teacher Education","2023","September",1,0,9
"College of Education","School of Teacher Education","2023","October",1,0,10
"College of Education","School of Teacher Education","2024","October",1,0,10
"College of Education","School of Teacher Education","2025","January",1,0,1
"College of Education","School of Teacher Education","2023","April",5,5,4
"College of Education","School of Teacher Education","2024","March",1,1,3
"College of Education","Science & Math Teaching Center","2024","September",1,0,9
"College of Education","Science & Math Teaching Center","2023","April",1,1,4
"Research & Economic Development","Science Institute","2023","July",1,1,7
"Research & Economic Development","Science Institute","2023","November",1,0,11
"Research & Economic Development","Science Institute","2023","April",2,2,4
"Research & Economic Development","Science Institute","2024","April",1,0,4
"Research & Economic Development","Science Institute","2023","August",1,0,8
"Economic Development","Small Business Development Center","2024","August",1,0,8
"Economic Development","Small Business Development Center","2024","July",1,1,7
"Economic Development","Small Business Development Center","2024","April",2,1,4
"Economic Development","Small Business Development Center","2023","July",1,1,7
"Economic Development","Small Business Development Center","2023","September",1,1,9
"Economic Development","Small Business Development Center","2023","April",10,10,4
"Economic Development","Small Business Development Center","2024","May",1,1,5
"Provost","Student Educational Opportunity","2023","August",1,0,8
"Provost","Student Educational Opportunity","2023","April",6,6,4
"Provost","Student Educational Opportunity","2024","June",1,0,6
"Provost","Student Educational Opportunity","2023","July",2,0,7
"College of Arts & Sciences","Theatre & Dance","2024","December",1,0,12
"College of Arts & Sciences","Theatre & Dance","2023","July",1,1,7
"College of Arts & Sciences","Theatre & Dance","2024","August",1,1,8
"College of Arts & Sciences","Theatre & Dance","2023","April",2,2,4
"Transportation Services","Transportation Services","2024","April",1,1,4
"Transportation Services","Transportation Services","2023","November",3,3,11
"Transportation Services","Transportation Services","2023","April",13,13,4
"Provost","University Art Museum","2024","March",1,1,3
"Provost","University Art Museum","2023","June",1,1,6
"Provost","University Art Museum","2023","April",2,2,4
"Provost","University Art Museum","2023","August",1,1,8
"Provost","University Art Museum","2024","October",1,0,10
"College of Agriculture, Life Sciences & Natural Resources","UW Extension","2023","June",2,2,6
"College of Agriculture, Life Sciences & Natural Resources","UW Extension","2024","August",2,1,8
"College of Agriculture, Life Sciences & Natural Resources","UW Extension","2023","August",1,1,8
"College of Agriculture, Life Sciences & Natural Resources","UW Extension","2024","October",4,1,10
"College of Agriculture, Life Sciences & Natural Resources","UW Extension","2024","February",1,1,2
"College of Agriculture, Life Sciences & Natural Resources","UW Extension","2024","May",1,1,5
"College of Agriculture, Life Sciences & Natural Resources","UW Extension","2024","January",1,1,1
"College of Agriculture, Life Sciences & Natural Resources","UW Extension","2024","June",2,1,6
"College of Agriculture, Life Sciences & Natural Resources","UW Extension","2024","March",1,0,3
"College of Agriculture, Life Sciences & Natural Resources","UW Extension","2024","September",2,2,9
"College of Agriculture, Life Sciences & Natural Resources","UW Extension","2023","November",2,1,11
"College of Agriculture, Life Sciences & Natural Resources","UW Extension","2023","December",1,1,12
"College of Agriculture, Life Sciences & Natural Resources","UW Extension","2023","September",1,1,9
"College of Agriculture, Life Sciences & Natural Resources","UW Extension","2024","April",2,2,4
"College of Agriculture, Life Sciences & Natural Resources","UW Extension","2023","October",2,0,10
"College of Agriculture, Life Sciences & Natural Resources","UW Extension","2023","July",1,1,7
"College of Agriculture, Life Sciences & Natural Resources","UW Extension","2025","January",2,0,1
"College of Agriculture, Life Sciences & Natural Resources","UW Extension","2023","April",41,41,4
"College of Agriculture, Life Sciences & Natural Resources","UW Extension","2024","November",1,1,11
"College of Agriculture, Life Sciences & Natural Resources","Veterinary Science","2024","May",2,1,5
"College of Agriculture, Life Sciences & Natural Resources","Veterinary Science","2023","April",18,18,4
"College of Agriculture, Life Sciences & Natural Resources","Veterinary Science","2024","August",1,0,8
"College of Agriculture, Life Sciences & Natural Resources","Veterinary Science","2023","July",2,2,7
"College of Agriculture, Life Sciences & Natural Resources","Veterinary Science","2024","December",2,0,12
"College of Agriculture, Life Sciences & Natural Resources","Veterinary Science","2024","June",3,1,6
"College of Agriculture, Life Sciences & Natural Resources","Veterinary Science","2024","February",1,0,2
"College of Agriculture, Life Sciences & Natural Resources","Veterinary Science","2025","January",2,0,1
"College of Agriculture, Life Sciences & Natural Resources","Veterinary Science","2024","November",3,0,11
"College of Agriculture, Life Sciences & Natural Resources","Veterinary Science","2024","April",1,1,4
"College of Agriculture, Life Sciences & Natural Resources","Veterinary Science","2023","August",1,1,8
"College of Agriculture, Life Sciences & Natural Resources","Veterinary Science","2024","October",1,0,10
"College of Agriculture, Life Sciences & Natural Resources","Veterinary Science","2024","September",1,0,9
"Research & Economic Development","VP for Research & Economic Development Office","2023","April",14,14,4
"Research & Economic Development","VP for Research & Economic Development Office","2023","May",1,0,5
"Research & Economic Development","VP for Research & Economic Development Office","2023","July",5,2,7
"Research & Economic Development","VP for Research & Economic Development Office","2024","October",1,0,10
"Research & Economic Development","VP for Research & Economic Development Office","2024","May",2,1,5
"Research & Economic Development","VP for Research & Economic Development Office","2024","April",1,1,4
"Research","Wyo Natural Diversity Database","2025","January",4,0,1
"Research","Wyo Natural Diversity Database","2023","April",48,48,4
"Research","Wyo Natural Diversity Database","2023","September",2,2,9
"Research","Wyo Natural Diversity Database","2024","March",1,1,3
"Research","Wyo Natural Diversity Database","2024","December",2,0,12
"Research","Wyo Natural Diversity Database","2023","December",1,1,12
"Research","Wyo Natural Diversity Database","2023","July",2,2,7
"Research","Wyo Natural Diversity Database","2024","November",1,0,11
"Research","Wyo Natural Diversity Database","2024","January",7,4,1
"Research","Wyo Natural Diversity Database","2024","October",3,0,10
"Research","Wyo Natural Diversity Database","2024","June",1,1,6
"Research","Wyo Natural Diversity Database","2023","May",1,1,5
"Research","Wyo Natural Diversity Database","2024","February",4,4,2
"Research","Wyo Natural Diversity Database","2024","May",4,2,5
"Research","Wyo Natural Diversity Database","2023","June",6,1,6
"Research","Wyo Natural Diversity Database","2023","October",1,1,10
"Research","Wyo Natural Diversity Database","2024","April",1,1,4
"Research","Wyo Natural Diversity Database","2023","August",8,7,8
"Research","Wyo Natural Diversity Database","2024","July",2,2,7
"College of Agriculture, Life Sciences & Natural Resources","Wyoming Coop Unit","2025","January",20,0,1
"College of Agriculture, Life Sciences & Natural Resources","Wyoming Coop Unit","2023","July",2,2,7
"College of Agriculture, Life Sciences & Natural Resources","Wyoming Coop Unit","2024","March",1,1,3
"College of Agriculture, Life Sciences & Natural Resources","Wyoming Coop Unit","2024","January",13,9,1
"College of Agriculture, Life Sciences & Natural Resources","Wyoming Coop Unit","2023","August",4,4,8
"College of Agriculture, Life Sciences & Natural Resources","Wyoming Coop Unit","2023","November",1,1,11
"College of Agriculture, Life Sciences & Natural Resources","Wyoming Coop Unit","2024","November",2,0,11
"College of Agriculture, Life Sciences & Natural Resources","Wyoming Coop Unit","2023","September",2,2,9
"College of Agriculture, Life Sciences & Natural Resources","Wyoming Coop Unit","2023","April",87,87,4
"College of Agriculture, Life Sciences & Natural Resources","Wyoming Coop Unit","2024","June",2,0,6
"College of Agriculture, Life Sciences & Natural Resources","Wyoming Coop Unit","2024","August",1,0,8
"College of Agriculture, Life Sciences & Natural Resources","Wyoming Coop Unit","2024","February",5,4,2
"College of Agriculture, Life Sciences & Natural Resources","Wyoming Coop Unit","2024","April",2,2,4
"College of Agriculture, Life Sciences & Natural Resources","Wyoming Coop Unit","2024","September",1,1,9
"College of Agriculture, Life Sciences & Natural Resources","Wyoming Coop Unit","2023","June",27,13,6
"College of Agriculture, Life Sciences & Natural Resources","Wyoming Coop Unit","2024","October",1,0,10
"College of Engineering & Physical Sciences","Wyoming Geographic Information Science Center","2023","November",1,0,11
"College of Engineering & Physical Sciences","Wyoming Geographic Information Science Center","2024","March",2,2,3
"College of Engineering & Physical Sciences","Wyoming Geographic Information Science Center","2023","September",2,2,9
"College of Engineering & Physical Sciences","Wyoming Geographic Information Science Center","2023","May",1,1,5
"College of Engineering & Physical Sciences","Wyoming Geographic Information Science Center","2025","January",1,0,1
"College of Engineering & Physical Sciences","Wyoming Geographic Information Science Center","2023","June",6,0,6
"College of Engineering & Physical Sciences","Wyoming Geographic Information Science Center","2023","July",3,1,7
"College of Engineering & Physical Sciences","Wyoming Geographic Information Science Center","2024","April",2,1,4
"College of Engineering & Physical Sciences","Wyoming Geographic Information Science Center","2024","October",1,0,10
"College of Engineering & Physical Sciences","Wyoming Geographic Information Science Center","2024","January",3,1,1
"College of Engineering & Physical Sciences","Wyoming Geographic Information Science Center","2023","August",1,0,8
"College of Engineering & Physical Sciences","Wyoming Geographic Information Science Center","2023","April",23,23,4
"College of Engineering & Physical Sciences","Wyoming Geographic Information Science Center","2024","May",2,1,5
"College of Engineering & Physical Sciences","Wyoming Geographic Information Science Center","2024","September",2,1,9
"College of Engineering & Physical Sciences","Wyoming Geographic Information Science Center","2024","August",1,0,8
"College of Health Sciences","Wyoming Institute for Disabilities WIND","2023","July",1,0,7
"College of Health Sciences","Wyoming Institute for Disabilities WIND","2023","August",1,1,8
"College of Health Sciences","Wyoming Institute for Disabilities WIND","2024","December",5,1,12
"College of Health Sciences","Wyoming Institute for Disabilities WIND","2023","June",5,3,6
"College of Health Sciences","Wyoming Institute for Disabilities WIND","2024","April",1,0,4
"College of Health Sciences","Wyoming Institute for Disabilities WIND","2024","August",1,0,8
"College of Health Sciences","Wyoming Institute for Disabilities WIND","2024","September",2,1,9
"College of Health Sciences","Wyoming Institute for Disabilities WIND","2023","November",4,2,11
"College of Health Sciences","Wyoming Institute for Disabilities WIND","2024","May",1,1,5
"College of Health Sciences","Wyoming Institute for Disabilities WIND","2024","November",3,1,11
"College of Health Sciences","Wyoming Institute for Disabilities WIND","2024","July",3,1,7
"College of Health Sciences","Wyoming Institute for Disabilities WIND","2024","October",2,2,10
"College of Health Sciences","Wyoming Institute for Disabilities WIND","2025","January",2,0,1
"College of Health Sciences","Wyoming Institute for Disabilities WIND","2023","September",1,1,9
"College of Health Sciences","Wyoming Institute for Disabilities WIND","2024","February",2,1,2
"College of Health Sciences","Wyoming Institute for Disabilities WIND","2023","April",27,27,4
"College of Health Sciences","Wyoming Institute for Disabilities WIND","2024","January",1,1,1
"Research & Economic Development","Wyoming Public Media","2023","June",1,1,6
"Research & Economic Development","Wyoming Public Media","2024","August",2,0,8
"Research & Economic Development","Wyoming Public Media","2023","September",3,2,9
"Research & Economic Development","Wyoming Public Media","2023","April",15,15,4
"Research & Economic Development","Wyoming Public Media","2023","August",1,1,8
"Research & Economic Development","Wyoming Public Media","2024","May",1,0,5
"Research & Economic Development","Wyoming Public Media","2024","January",1,0,1
"Research & Economic Development","Wyoming Public Media","2024","April",1,1,4
"Research & Economic Development","Wyoming Public Media","2024","December",1,0,12
"Research & Economic Development","Wyoming Public Media","2024","February",4,2,2
"College of Agriculture, Life Sciences & Natural Resources","Wyoming State Veterinary Laboratory","2024","November",1,1,11
"College of Agriculture, Life Sciences & Natural Resources","Wyoming State Veterinary Laboratory","2023","April",3,3,4
"College of Agriculture, Life Sciences & Natural Resources","Wyoming State Veterinary Laboratory","2024","September",1,0,9
"Research","Wyoming Survey & Analysis Center","2023","December",1,0,12
"Research","Wyoming Survey & Analysis Center","2024","September",1,0,9
"Research","Wyoming Survey & Analysis Center","2023","November",1,0,11
"Research","Wyoming Survey & Analysis Center","2024","June",3,2,6
"Research","Wyoming Survey & Analysis Center","2024","August",1,1,8
"Research","Wyoming Survey & Analysis Center","2024","November",1,1,11
"Research","Wyoming Survey & Analysis Center","2023","October",1,1,10
"Research","Wyoming Survey & Analysis Center","2023","April",63,63,4
"Research","Wyoming Survey & Analysis Center","2023","June",6,0,6
"Research","Wyoming Survey & Analysis Center","2024","December",2,2,12
"Research","Wyoming Survey & Analysis Center","2024","May",5,4,5
"Research","Wyoming Survey & Analysis Center","2023","May",1,1,5
"Research","Wyoming Survey & Analysis Center","2023","September",3,0,9
"Research","Wyoming Survey & Analysis Center","2025","January",1,1,1
"Research","Wyoming Survey & Analysis Center","2023","July",3,1,7
"Research","Wyoming Survey & Analysis Center","2024","January",2,1,1
"Research","Wyoming Survey & Analysis Center","2024","April",6,4,4
"Research","Wyoming Survey & Analysis Center","2024","March",3,1,3
"Research","Wyoming Survey & Analysis Center","2024","February",4,3,2
"Research","Wyoming Survey & Analysis Center","2024","July",1,1,7
"Research","Wyoming Survey & Analysis Center","2024","October",2,1,10
"Research","Wyoming Survey & Analysis Center","2023","August",3,3,8
"College of Agriculture, Life Sciences & Natural Resources","Zoology & Physiology","2023","November",4,0,11
"College of Agriculture, Life Sciences & Natural Resources","Zoology & Physiology","2024","February",2,0,2
"College of Agriculture, Life Sciences & Natural Resources","Zoology & Physiology","2023","May",2,2,5
"College of Agriculture, Life Sciences & Natural Resources","Zoology & Physiology","2024","March",2,1,3
"College of Agriculture, Life Sciences & Natural Resources","Zoology & Physiology","2024","September",4,1,9
"College of Agriculture, Life Sciences & Natural Resources","Zoology & Physiology","2024","January",14,6,1
"College of Agriculture, Life Sciences & Natural Resources","Zoology & Physiology","2023","July",10,6,7
"College of Agriculture, Life Sciences & Natural Resources","Zoology & Physiology","2024","July",2,0,7
"College of Agriculture, Life Sciences & Natural Resources","Zoology & Physiology","2023","September",7,2,9
"College of Agriculture, Life Sciences & Natural Resources","Zoology & Physiology","2024","August",2,0,8
"College of Agriculture, Life Sciences & Natural Resources","Zoology & Physiology","2023","October",3,2,10
"College of Agriculture, Life Sciences & Natural Resources","Zoology & Physiology","2024","December",4,0,12
"College of Agriculture, Life Sciences & Natural Resources","Zoology & Physiology","2023","April",53,53,4
"College of Agriculture, Life Sciences & Natural Resources","Zoology & Physiology","2023","June",16,4,6
"College of Agriculture, Life Sciences & Natural Resources","Zoology & Physiology","2023","August",4,3,8
"College of Agriculture, Life Sciences & Natural Resources","Zoology & Physiology","2024","May",2,0,5
"College of Agriculture, Life Sciences & Natural Resources","Zoology & Physiology","2024","October",4,1,10
"College of Agriculture, Life Sciences & Natural Resources","Zoology & Physiology","2024","June",2,1,6
"College of Agriculture, Life Sciences & Natural Resources","Zoology & Physiology","2025","January",11,0,1
"College of Agriculture, Life Sciences & Natural Resources","Zoology & Physiology","2024","November",1,0,11
